Date Low_Aerobic High_Aerobic Anaerobic 
23/09/23 0 52 0
24/09/23 0 16 0
25/09/23 0 15 0
27/09/23 17 0 0
30/09/23 0 35 0
04/10/23 35 0 0
07/10/23 0 24 0
11/10/23 0 28 0
12/10/23 0 30 0
15/10/23 0 34 0
18/10/23 0 28 0
23/10/23 0 13 0
26/10/23 0 49 0
29/10/23 0 57 37
31/10/23 0 72 0
01/11/23 0 35 0
02/11/23 0 124 0 
06/11/23 0 28 0
09/11/23 0 44 0
11/11/23 49 0 0
12/11/23 0 43 0
13/11/23 37 0 0
15/11/23 41 0 0
16/11/23 0 50 0
18/11/23 0 0 49
19/11/23 61 0 0
20/11/23 4 50 0
22/11/23 30 0 0
23/11/23 0 40 0
25/11/23 0 0 27
27/11/23 0 29 0
29/11/23 6 48 0
30/11/23 32 0 0
03/12/23 0 14 0
06/12/23 0 51 0
08/12/23 27 58 0
09/12/23 34 0 0
10/12/23 0 49 0
13/12/23 24 0 0
15/12/23 0 41 0
16/12/23 31 0 0
20/12/23 0 0 40
21/12/23 0 48 0
23/12/23 0 38 0 
26/12/23 20 0 0
27/12/23 0 64 0 
30/12/23 0 77 0
31/12/23 95 0 0
02/01/24 26 42 0
04/01/24 0 44 0
05/01/24 40 0 0
07/01/24 30 0 0
09/01/24 12 59 0
11/01/24 41 0 27
13/01/24 32 0 23
15/01/24 24 0 0
16/01/24 40 0 0
17/01/24 0 42 0
18/01/24 58 0 0
19/01/24 0 0 40
20/01/24 74 0 0
23/01/24 0 0 13
24/01/24 10 42 0
25/01/24 68 0 0
27/01/24 23 50 0
28/01/24 43 0 0
29/01/24 0 50 0
31/01/24 26 0 10
02/02/24 45 0 85
04/02/24 21 50 0
07/02/24 0 40 0
08/02/24 62 0 0
09/02/24 30 0 0
11/02/24 21 0 0
15/02/24 77 0 0
17/02/24 22 59 0
18/02/24 53 0 0
19/02/24 0 45 0
21/02/24 67 0 0
22/02/24 31 0 0
23/02/24 19 0 0
24/02/24 20 0 0
25/02/24 18 40 0
28/02/24 47 0 0
29/02/24 28 49 0
02/03/24 67 0 0
03/03/24 47 0 0
04/03/24 0 81 0
06/03/24 0 0 50
07/03/24 80 0 0
08/03/24 34 0 0
09/03/24 26 0 12
11/03/24 0 38 0
12/03/24 20 0 0
13/03/24 45 0 0
14/03/24 69 0 0
15/03/24 0 0 90
16/03/24 59 0 0
19/03/24 57 33 0
20/03/24 24 0 0
21/03/24 0 53 0
22/03/24 0 0 50
23/03/24 57 0 0
24/03/24 28 0 0
27/03/24 0 69 0
29/03/24 32 0 0
30/03/24 26 89 0
31/03/24 59 0 0
02/04/24 22 0 0
03/04/24 20 50 0
06/04/24 356 0 0
07/04/24 43 0 0
10/04/24 20 40 0
11/04/24 40 0 27
14/04/24 85 0 0
17/04/24 25 21 0
18/04/24 0 38 0
20/04/24 44 0 0
21/04/24 74 0 0
23/04/24 22 50 0
24/04/24 50 0 0
25/04/24 30 0 0
26/04/24 30 0 47
27/04/24 50 0 0
29/04/24 96 0 0
30/04/24 0 79 0
02/05/24 42 0 0
03/05/24 0 0 45
04/05/24 35 0 0
07/05/24 23 39 0
08/05/24 66 46 0
11/05/24 31 0 0
12/05/24 18 49 0
16/05/24 21 43 0
17/05/24 30 0 0
19/05/24 26 0 0
24/05/24 21 0 0
25/05/24 0 81 0
26/05/24 21 83 0
27/05/24 0 0 6
31/05/24 107 0 0
02/06/24 0 0 52
05/06/24 56 0 0
07/06/24 0 72 0
11/06/24 0 0 95
13/06/24 75 0 0
14/06/24 23 52 0
16/06/24 44 0 0
17/06/24 53 0 0
18/06/24 33 0 0
19/06/24 21 0 0
20/06/24 34 0 0
22/06/24 20 42 0
26/06/24 87 0 0
24/06/24 0 52 0
26/06/24 15 0 0
27/06/24 9 0 0
30/06/24 34 0 0
01/07/24 57 0 0
02/07/24 39 0 0
04/07/24 0 40 0
05/07/24 45 0 0
07/07/24 0 40 0
09/07/24 55 0 21
10/07/24 42 0 0
11/07/24 26 0 0
13/07/24 42 0 0
14/07/24 53 0 0
16/07/24 52 0 0
18/07/24 14 0 0
22/07/24 16 0 0
23/07/27 38 29 0
24/07/24 0 73 24
27/07/24 55 0 0
29/07/24 24 0 0
30/07/24 0 0 34
31/07/24 28 0 0
01/08/24 0 32 0
02/08/24 58 0 0
04/08/24 49 0 0
06/08/24 0 145 0
07/08/24 31 0 0
08/08/24 64 0 0
10/08/24 38 0 0
11/08/24 46 0 0
12/08/24 30 0 0
13/08/24 53 0 0
14/08/24 61 0 0
18/08/24 51 0 0
19/08/24 144 0 0
21/08/24 14 44 0
22/08/24 40 0 0
25/08/24 13 57 0
26/08/24 24 61 0
27/08/24 75 0 0
28/08/24 0 55 0
30/08/24 0 46 0
01/09/24 36 21 0
