Date Cadence(spm)
24/09/23 157
25/09/23 157
27/09/23 158
30/09/23 157
04/10/23 151
07/10/23 158
11/10/23 155
12/10/23 152
15/10/23 156
18/10/23 155
23/10/23 161
26/10/23 155
29/10/23 156
01/11/23 153
02/11/23 156
06/11/23 157
09/11/23 157
12/11/23 166
13/11/23 164
15/11/23 161
16/11/23 165
18/11/23 158
19/11/23 157
20/11/23 170
22/11/23 159
23/11/23 166
27/11/23 169
29/11/23 168
30/11/23 159
03/12/23 160
06/12/23 162
08/12/23 161
09/12/23 154
10/12/23 160
15/12/23 165
16/12/23 156
21/12/23 156
23/12/23 163
27/12/23 161
30/12/23 158
31/12/23 148
02/01/24 158
04/01/24 163
05/01/24 162
09/01/24 157
11/01/24 157
17/01/24 163
18/01/24 163
20/01/24 166
24/01/24 167
25/01/24 163
27/01/24 167
28/01/24 160
29/01/24 161
31/01/24 161
04/02/24 165
07/02/24 165
08/02/24 161
09/02/24 161
17/02/24 163
18/02/24 161
19/02/24 169
22/02/24 158
25/02/24 164
28/02/24 161
29/02/24 165
02/03/24 162
03/03/24 162
04/03/24 170
06/03/24 130
09/03/24 157
11/03/24 153
13/03/24 162
14/03/24 163
19/03/24 162
21/03/24 170
23/03/24 171
27/03/24 171
30/03/24 167
31/03/24 159
03/04/24 169
07/04/24 161
10/04/24 169
11/04/24 166
14/04/24 166
17/04/24 172
18/04/24 155
21/04/24 170
23/04/24 170
24/04/24 125
26/04/24 150
27/04/24 161
30/04/24 162
02/05/24 163
07/05/24 168
08/05/24 169
11/05/24 164
12/05/24 168
16/05/24 165
26/05/24 164
27/05/24 173
31/05/24 164
05/06/24 163
13/06/24 165
14/06/24 159
17/06/24 164
18/06/24 164
20/06/24 167
22/06/24 168
24/06/24 167
27/06/24 161
01/07/24 167
04/07/24 167
05/07/24 164
07/07/24 166
13/07/24 166
14/07/24 166
16/07/24 165
27/07/24 167
01/08/24 170
04/08/24 167
08/08/24 166
11/08/24 164
13/08/24 157
19/08/24 170
21/08/24 170
22/08/24 166
25/08/24 164
26/08/24 160
28/08/24 160
30/08/24 172
01/09/24 167
