Date Aerobic Threshold Maximum
23/09/23 32 18 0
24/09/23 6 8 2
25/09/23 7 8 0
27/09/23 11 5 0
30/09/23 2 27 6
04/10/23 33 1 0
07/10/23 5 4 14
11/10/23 6 14 7
12/10/23 10 19 0
15/10/23 6 27 0
18/10/23 14 13 0
23/10/23 5 2 6
26/10/23 11 16 22
29/10/23 22 49 2
31/10/23 39 31 0
01/11/23 12 18 4
02/11/23 16 108 0
06/11/23 9 10 10
09/11/23 7 37 0
12/11/23 4 26 11
13/11/23 35 0 0
15/11/23 39 0 0
16/11/23 16 20 14
18/11/23 21 23 4
19/11/23 61 0 0
20/11/23 7 34 12
22/11/23 30 0 0
23/11/23 14 4 20
25/11/23 12 0 0
27/11/23 6 22 1
29/11/23 8 22 24
30/11/23 31 0 0
03/12/23 6 7 0
06/12/23 9 38 4
08/12/23 28 44 0
09/12/23 31 2 0
10/12/23 22 6 20
13/12/23 4 0 0
15/12/23 7 32 1 
16/12/23 27 2 0
20/12/23 17 0 0
21/12/23 20 15 11
23/12/23 21 17 0
27/12/23 8 35 21
30/12/23 10 49 19
31/12/23 93 2 0
02/01/24 20 27 6
04/01/24 10 32 6
05/01/24 38 4 0
07/01/24 7 0 0
09/01/24 20 41 7
11/01/24 43 10 0
13/01/24 32 2 0
15/01/24 7 0 0
16/01/24 3 0 0
17/01/24 8 13 21
18/01/24 38 6 0
19/01/24 23 7 0
20/01/24 59 3 0
23/01/24 3 0 0
24/01/24 15 16 17
25/01/24 56 0 0
27/01/24 25 31 8
28/01/24 41 1 0
29/01/24 17 28 4
31/01/24 28 2 0
02/02/24 93 15 0
04/02/24 35 25 5
07/02/24 15 21 4
08/02/24 48 2 0
09/02/24 27 3 0
11/02/24 11 0 0
15/02/24 49 2 0
17/02/24 45 29 2
18/02/24 43 0 0
19/02/24 7 17 22
22/02/24 18 0 0
24/02/24 8 0 0
25/02/24 24 25 0
28/02/24 43 3 0
29/02/24 24 26 13
02/03/24 43 11 0
03/03/24 31 15 0
04/03/24 41 39 0
06/03/24 27 18 2
08/03/24 13 0 0
09/03/24 20 0 0
11/03/24 22 3 4
12/03/24 7 0 0
13/03/24 29 14 0
14/03/24 46 12 0
15/03/24 48 16 1
16/03/24 27 13 0
19/03/24 56 24 1
20/03/24 12 0 0
21/03/24 6 25 21
22/03/24 42 4 0
23/03/24 45 4 0
24/03/24 12 7 0
27/03/24 23 26 10
29/03/24 12 0 0
30/03/24 34 69 0
31/04/24 43 5 0
02/04/24 10 1 0
03/04/24 29 22 11
06/04/24 155 5 0
07/04/24 30 0 0
10/04/24 24 25 8
11/04/24 44 15 0
14/04/24 68 4 0
17/04/24 22 15 1
18/04/24 25 6 3
20/04/24 29 0 0
21/04/24 43 21 0
23/04/24 21 18 24
24/04/24 30 6 0
25/04/24 11 0 0
26/04/24 40 27 0
27/04/24 41 0 0
29/04/24 81 1 0
30/04/24 15 49 14
02/05/24 30 10 0
03/05/24 28 6 0
04/05/24 11 0 0
07/05/24 25 26 4
08/05/24 23 38 0
11/05/24 28 0 0
12/05/24 14 5 44
16/05/24 34 18 0
17/05/24 9 0 0
19/05/24 13 0 0
24/05/24 11 0 0
25/05/24 49 9 0
26/05/24 23 54 3
27/05/24 2 2 1
31/05/24 80 5 0
05/06/24 28 5 0
07/06/24 26 37 4
11/06/24 54 1 0
13/06/24 43 10 0
14/06/24 13 24 15
17/06/24 23 7 0
18/06/24 23 9 0
20/06/24 19 15 0
22/06/24 24 18 0
23/06/24 82 1 0
24/06/24 24 29 0
27/06/24 8 0 0
01/07/24 11 23 1
04/07/24 11 23 5
05/07/24 20 25 0
07/07/24 28 10 1
09/07/24 37 18 0
10/07/24 14 7 0
13/07/24 27 4 0
14/07/24 39 13 0
16/07/24 30 0 0
18/07/24 7 1 0
22/07/24 6 7 0
23/07/24 6 14 0
24/07/24 19 53 1
27/07/24 23 4 0
29/07/24 16 5 0
31/07/24 14 13 0
01/08/24 6 14 11
02/08/24 51 0 0
04/08/24 25 4 0
06/08/24 63 88 1
08/08/24 43 1 0
10/08/24 32 5 0
11/08/24 39 8 0
13/08/24 29 23 1
14/08/24 27 0 0
18/08/24 29 14 0
19/08/24 8 3 0
21/08/24 13 29 11
22/08/24 30 9 0
25/08/24 34 31 0
26/08/24 34 32 4
27/08/24 73 1 0
28/08/24 21 21 13
30/08/24 18 20 7
01/08/24 29 12 15
